,Pollutant,Symbol,State,CAV_adoption,Year,Concern,Total Emmisions,UOM
Pollutant,Nitrous Oxide,N2O,OR,Top,2008.0,GHG,1214.136979649229,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,OR,Top,2008.0,Health,4397.19418623237,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,OR,Top,2008.0,Health,3466.577247231544,TON
Pollutant,Sulfur Dioxide,SO2,OR,Top,2008.0,Health,532.07514321833,TON
Pollutant,Volatile Organic Compounds,VOC,OR,Top,2008.0,Health,42818.962654466,TON
Pollutant,Carbon Dioxide,CO2,HI,Top,2008.0,GHG,5785895.60288,TON
Pollutant,Carbon Monoxide,CO,HI,Top,2008.0,GHG,134340.17990284,TON
Pollutant,Chromium (VI),Cr VI,HI,Top,2008.0,Health,20.195539814059998,LB
Pollutant,Manganese,Mn,HI,Top,2008.0,Health,41.8910529984,LB
Pollutant,Mercury,Hg,HI,Top,2008.0,Health,2.5322551041358,LB
Pollutant,Methane,CH4,HI,Top,2008.0,GHG,400.00196911885,TON
Pollutant,Nickel,Ni,HI,Top,2008.0,Health,88.58482891,LB
Pollutant,Nitrogen Oxides,NOx,HI,Top,2008.0,Health,19889.9722608,TON
Pollutant,Nitrous Oxide,N2O,HI,Top,2008.0,GHG,318.71765715286,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,HI,Top,2008.0,Health,1081.0770787428,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,HI,Top,2008.0,Health,821.0983974638,TON
Pollutant,Sulfur Dioxide,SO2,HI,Top,2008.0,Health,252.580120525,TON
Pollutant,Volatile Organic Compounds,VOC,HI,Top,2008.0,Health,11349.649852539,TON
Pollutant,Carbon Dioxide,CO2,CO,Top,2008.0,GHG,27460554.4704168,TON
Pollutant,Carbon Monoxide,CO,CO,Top,2008.0,GHG,521736.64565025264,TON
Pollutant,Chromium (VI),Cr VI,CO,Top,2008.0,Health,406.58677663806947,LB
Pollutant,Manganese,Mn,CO,Top,2008.0,Health,207.7636177686616,LB
Pollutant,Mercury,Hg,CO,Top,2008.0,Health,11.541459364011123,LB
Pollutant,Methane,CH4,CO,Top,2008.0,GHG,2269.7196871935407,TON
Pollutant,Nickel,Ni,CO,Top,2008.0,Health,433.9797862329616,LB
Pollutant,Nitrogen Oxides,NOx,CO,Top,2008.0,Health,100338.0155700757,TON
Pollutant,Nitrous Oxide,N2O,CO,Top,2008.0,GHG,1302.9064981334739,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,CO,Top,2008.0,Health,5008.9960297456155,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,CO,Top,2008.0,Health,3710.242191790877,TON
Pollutant,Sulfur Dioxide,SO2,CO,Top,2008.0,Health,745.1144772258473,TON
Pollutant,Volatile Organic Compounds,VOC,CO,Top,2008.0,Health,47556.885275478824,TON
Pollutant,Carbon Dioxide,CO2,NV,Top,2008.0,GHG,11195955.55802436,TON
Pollutant,Carbon Monoxide,CO,NV,Top,2008.0,GHG,222362.39258619727,TON
Pollutant,Chromium (VI),Cr VI,NV,Top,2008.0,Health,177.17187549574516,LB
Pollutant,Manganese,Mn,NV,Top,2008.0,Health,84.3176090222416,LB
Pollutant,Mercury,Hg,NV,Top,2008.0,Health,5.047010426380628,LB
Pollutant,Methane,CH4,NV,Top,2008.0,GHG,825.5054281466098,TON
Pollutant,Nickel,Ni,NV,Top,2008.0,Health,178.1148555851722,LB
Pollutant,Nitrogen Oxides,NOx,NV,Top,2008.0,Health,40642.7455840891,TON
Pollutant,Nitrous Oxide,N2O,NV,Top,2008.0,GHG,574.2343618346973,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,NV,Top,2008.0,Health,1751.4748141281377,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,NV,Top,2008.0,Health,1221.7501904430644,TON
Pollutant,Sulfur Dioxide,SO2,NV,Top,2008.0,Health,510.7704288296527,TON
Pollutant,Volatile Organic Compounds,VOC,NV,Top,2008.0,Health,27083.96131491587,TON
Pollutant,Carbon Dioxide,CO2,ND,Bottom,2008.0,GHG,4803702.679565,TON
Pollutant,Carbon Monoxide,CO,ND,Bottom,2008.0,GHG,105667.980588495,TON
Pollutant,Chromium (VI),Cr VI,ND,Bottom,2008.0,Health,64.34764598054,LB
Pollutant,Manganese,Mn,ND,Bottom,2008.0,Health,37.2625160626,LB
Pollutant,Mercury,Hg,ND,Bottom,2008.0,Health,1.8215643461706,LB
Pollutant,Methane,CH4,ND,Bottom,2008.0,GHG,553.6395429601899,TON
